Timestamp,Sensor_ID,Assigned_Core,Core_0_Load,Core_1_Load,Core_2_Load,Core_3_Load,Core_4_Load,Core_5_Load,Core_6_Load,Core_7_Load,Core_8_Load,Core_9_Load,Core_10_Load,Core_11_Load,Core_12_Load,Core_13_Load,Core_14_Load,Core_15_Load
15:37:56,SENSOR_1,2,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
15:37:56,SENSOR_2,9,33.3,0.0,0.0,0.0,66.7,33.3,66.7,33.3,66.7,33.3,100.0,0.0,66.7,100.0,33.3,33.3
15:37:57,SENSOR_3,4,81.8,0.0,54.5,0.0,72.7,22.2,54.5,30.0,27.3,0.0,50.0,0.0,36.4,30.0,81.8,36.4
15:37:57,SENSOR_4,4,38.9,5.6,36.8,0.0,60.0,21.1,26.3,5.6,63.2,5.9,36.8,0.0,22.2,16.7,11.8,47.1
15:37:57,SENSOR_5,12,0.0,0.0,43.8,0.0,14.3,0.0,42.9,0.0,14.3,0.0,14.3,0.0,0.0,0.0,0.0,0.0
15:37:57,SENSOR_1,2,0.0,0.0,15.0,0.0,35.0,0.0,52.4,0.0,20.0,0.0,20.0,0.0,4.8,0.0,10.0,4.5
15:37:58,SENSOR_2,10,8.5,0.0,38.8,0.0,25.0,0.0,33.3,0.0,18.8,0.0,4.3,0.0,6.2,0.0,2.1,8.5
15:38:00,SENSOR_3,10,6.9,0.0,37.5,0.0,39.4,0.0,18.3,0.0,7.0,0.0,8.3,0.0,0.0,0.0,4.1,0.0
15:38:01,SENSOR_4,2,13.3,0.0,33.3,0.0,27.7,1.2,47.6,1.2,20.5,0.0,9.9,0.0,25.6,18.1,30.1,23.8
15:38:02,SENSOR_5,12,3.6,0.0,31.6,0.0,16.4,0.0,29.1,0.0,29.1,0.0,12.1,0.0,1.9,0.0,5.5,7.3
15:38:04,SENSOR_1,6,3.4,0.0,30.3,0.0,26.2,0.0,31.1,0.0,17.6,0.0,10.8,0.0,0.0,1.4,2.0,2.7
15:38:05,SENSOR_2,15,2.7,0.0,37.2,0.0,29.9,0.0,30.7,0.0,26.7,0.0,17.3,0.0,2.7,4.0,9.3,9.3
16:48:25,SENSOR_1,7,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
16:48:25,SENSOR_2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
16:48:25,SENSOR_3,12,11.1,0.0,14.3,0.0,0.0,0.0,0.0,33.3,72.7,0.0,44.4,0.0,0.0,0.0,0.0,0.0
16:48:26,SENSOR_4,6,13.3,0.0,12.5,0.0,0.0,0.0,0.0,30.0,43.3,0.0,40.0,0.0,3.2,0.0,0.0,3.1
16:48:26,SENSOR_5,1,8.7,0.0,0.0,0.0,4.3,0.0,0.0,30.4,43.5,0.0,21.7,0.0,4.5,4.8,0.0,9.1
16:48:27,SENSOR_1,9,21.7,1.7,22.0,5.0,8.6,1.7,4.8,39.7,42.4,1.7,19.0,3.3,15.3,16.7,16.7,23.3
16:48:27,SENSOR_2,6,71.1,10.0,50.0,12.1,33.3,3.1,6.2,69.4,36.8,18.2,77.8,0.0,11.4,11.8,5.9,38.9
16:48:28,SENSOR_3,9,44.0,0.0,14.3,4.2,4.8,0.0,0.0,61.9,36.4,0.0,66.7,0.0,0.0,0.0,0.0,4.8
16:48:29,SENSOR_4,2,11.7,0.0,1.7,0.0,1.7,0.0,0.0,39.3,19.7,0.0,82.0,0.0,4.9,0.0,0.0,6.8
16:48:30,SENSOR_5,1,13.9,0.0,5.6,0.0,8.1,0.0,0.0,32.4,38.9,0.0,31.4,0.0,0.0,0.0,0.0,0.0
16:48:31,SENSOR_1,9,6.9,0.0,10.3,0.0,0.0,0.0,0.0,48.4,24.1,0.0,53.4,0.0,1.9,0.0,0.0,1.8
16:48:32,SENSOR_2,0,31.2,0.0,26.9,6.6,19.7,5.1,1.2,49.4,32.9,0.0,46.8,0.0,18.8,16.7,12.8,41.2
16:48:34,SENSOR_3,8,43.1,0.0,26.2,0.0,3.7,0.0,0.0,43.4,27.3,0.0,36.8,0.0,25.5,27.4,1.9,41.8
